Tick 35477(35474), Delay 8184 ms, IGT 29:33.699, RTA 43:35.497-43:43.681
Tick 35900(35897), Delay 1166 ms, IGT 29:54.849, RTA 44:04.781-44:05.947
Tick 35920(35917), Delay 432 ms, IGT 29:55.849, RTA 44:06.899-44:07.331
Tick 35931(35928), Delay 483 ms, IGT 29:56.399, RTA 44:07.832-44:08.315
Tick 35945(35942), Delay 469 ms, IGT 29:57.099, RTA 44:08.964-44:09.433
Tick 36355(36352), Delay 33318 ms, IGT 30:17.599, RTA 44:29.881-45:03.199
Tick 36662(36659), Delay 44 ms, IGT 30:32.949, RTA 45:18.503-45:18.547
Tick 36725(36722), Delay 3750 ms, IGT 30:36.099, RTA 45:21.650-45:25.400
Tick 36758(36755), Delay 1167 ms, IGT 30:37.749, RTA 45:27.000-45:28.167
Tick 36768(36765), Delay 618 ms, IGT 30:38.249, RTA 45:28.617-45:29.235
Tick 36780(36777), Delay 616 ms, IGT 30:38.849, RTA 45:29.783-45:30.399
Tick 36794(36791), Delay 933 ms, IGT 30:39.549, RTA 45:31.050-45:31.983
Tick 37182(37179), Delay 35299 ms, IGT 30:58.949, RTA 45:51.333-46:26.632
Tick 37205(37202), Delay 269 ms, IGT 31:00.099, RTA 46:27.732-46:28.001
Tick 37206(37203), Delay 0 ms, IGT 31:00.149, RTA 46:28.001-46:28.001
Tick 37207(37204), Delay 1 ms, IGT 31:00.199, RTA 46:28.001-46:28.002
Tick 37208(37205), Delay 0 ms, IGT 31:00.249, RTA 46:28.002-46:28.002
Tick 37209(37206), Delay 0 ms, IGT 31:00.299, RTA 46:28.002-46:28.002
Tick 37210(37207), Delay 28 ms, IGT 31:00.349, RTA 46:28.002-46:28.030
Tick 37215(37212), Delay 8404 ms, IGT 31:00.599, RTA 46:28.229-46:36.633
Tick 37260(37257), Delay 66 ms, IGT 31:02.849, RTA 46:38.832-46:38.898
Tick 37262(37259), Delay 32 ms, IGT 31:02.949, RTA 46:38.950-46:38.982
Tick 37500(37497), Delay 65 ms, IGT 31:14.849, RTA 46:50.833-46:50.898
Tick 37501(37498), Delay 34 ms, IGT 31:14.899, RTA 46:50.898-46:50.932
Tick 37785(37782), Delay 65 ms, IGT 31:29.099, RTA 47:05.083-47:05.148
