Tick 970(959), Delay 55 ms, IGT 00:47.908, RTA 00:59.080-00:59.135
Tick 979(968), Delay 56 ms, IGT 00:48.358, RTA 00:59.529-00:59.585
Tick 983(972), Delay 40 ms, IGT 00:48.558, RTA 00:59.736-00:59.776
Tick 992(981), Delay 55 ms, IGT 00:49.008, RTA 01:00.180-01:00.235
Tick 993(982), Delay 44 ms, IGT 00:49.058, RTA 01:00.235-01:00.279
Tick 999(988), Delay 74 ms, IGT 00:49.358, RTA 01:00.528-01:00.602
Tick 1000(989), Delay 33 ms, IGT 00:49.408, RTA 01:00.602-01:00.635
Tick 1002(991), Delay 45 ms, IGT 00:49.508, RTA 01:00.687-01:00.732
Tick 1005(994), Delay 45 ms, IGT 00:49.658, RTA 01:00.836-01:00.881
Tick 1012(1001), Delay 56 ms, IGT 00:50.008, RTA 01:01.181-01:01.237
